Dataset,Accuracy,F1,Rounds
Yoga,0.5462666666666667,0.6301667353340796,5.8
WormsTwoClass,0.7558441558441559,0.8020616631325502,3.4
Worms,0.6753246753246753,0.5795367210629769,3.0
WordSynonyms,0.45579937304075235,0.2739702007066336,3.0
Wine,0.5,0.26666666666666666,6.0
Wafer,0.9734587929915639,0.9852455860132132,3.6
UWaveGestureLibraryZ,0.6786711334450028,0.6721637355455817,3.0
UWaveGestureLibraryY,0.648464544946957,0.6425479085170893,3.0
UWaveGestureLibraryX,0.7496370742601899,0.7484471121532243,3.0
UWaveGestureLibraryAll,0.8703517587939699,0.869719387211844,2.8
UMD,0.7569444444444444,0.7316280301979962,3.0
TwoPatterns,0.94935,0.9493884203689902,3.4
TwoLeadECG,0.676558384547849,0.6674979048720523,5.2
Trace,0.964,0.9645775274992185,2.8
ToeSegmentation2,0.7938461538461539,0.5819463869463869,3.8
ToeSegmentation1,0.6824561403508772,0.6193110390228227,4.0
SyntheticControl,0.964,0.9639236550191522,3.0
Symbols,0.9291457286432161,0.9292025716699187,4.8
SwedishLeaf,0.80704,0.801765184078052,2.8
Strawberry,0.8643243243243244,0.8942825079408065,3.4
StarLightCurves,0.9607333657115105,0.9434447878322791,3.8
SonyAIBORobotSurface2,0.7628541448058762,0.8282983230582354,4.4
SonyAIBORobotSurface1,0.5707154742096506,0.6563187052335125,5.6
SmoothSubspace,0.7813333333333333,0.7738175982225053,3.6
SmallKitchenAppliances,0.7690666666666667,0.7649197724305793,3.6
ShapesAll,0.635,0.6171450812683986,3.2
ShapeletSim,0.5088888888888888,0.5349206349206349,5.2
ShakeGestureWiimoteZ,0.1,0.01818181818181818,5.2
SemgHandSubjectCh2,0.6817777777777778,0.6638614856680838,2.2
SemgHandMovementCh2,0.33111111111111113,0.2934774272414263,3.0
SemgHandGenderCh2,0.6886666666666666,0.5715439120828192,8.2
ScreenType,0.39466666666666667,0.39048922678945636,4.4
Rock,0.528,0.5506640303718103,3.6
RefrigerationDevices,0.4768,0.4638160285840719,4.8
ProximalPhalanxTW,0.7892682926829269,0.41884935314828214,2.4
ProximalPhalanxOutlineCorrect,0.7814432989690722,0.8523670857303065,5.0
ProximalPhalanxOutlineAgeGroup,0.8429268292682927,0.721663296450486,3.2
PowerCons,0.8711111111111112,0.8673451354177371,4.6
Plane,0.9904761904761905,0.9894739478797027,2.0
PLAID,0.061452513966480445,0.010526315789473682,5.8
PigCVP,0.1605769230769231,0.13881496509008753,2.6
PigArtPressure,0.4980769230769231,0.4793542524264125,3.0
PigAirwayPressure,0.07115384615384615,0.06501795313786264,2.6
PickupGestureWiimoteZ,0.1,0.01818181818181818,5.8
Phoneme,0.1821729957805907,0.09956349321055594,2.6
PhalangesOutlinesCorrect,0.6575757575757576,0.7662288870590657,5.8
OSULeaf,0.6355371900826446,0.6009043449294427,2.4
OliveOil,0.38,0.13736263736263737,6.4
NonInvasiveFetalECGThorax2,0.7636641221374045,0.7470504060957259,2.0
NonInvasiveFetalECGThorax1,0.7173536895674301,0.6958561919516415,2.0
MoteStrain,0.7650159744408945,0.7381718784848559,3.6
MixedShapesSmallTrain,0.7485360824742268,0.7433184024107564,3.0
MixedShapesRegularTrain,0.8756288659793814,0.8740886855368344,3.2
MiddlePhalanxTW,0.5545454545454546,0.35576083031065936,2.4
MiddlePhalanxOutlineCorrect,0.6151202749140894,0.7250170655707829,5.4
MiddlePhalanxOutlineAgeGroup,0.5948051948051948,0.46820430437681176,2.8
MelbournePedestrian,0.6733907339073391,0.6424768683688902,3.0
MedicalImages,0.6121052631578947,0.47035933456911366,2.6
Meat,0.3333333333333333,0.16666666666666666,6.6
Mallat,0.7395309168443497,0.7163912150124984,2.2
Lightning7,0.6767123287671233,0.6319801036859177,3.4
Lightning2,0.6721311475409836,0.7267671404391477,3.6
LargeKitchenAppliances,0.6581333333333333,0.655599646073058,3.6
ItalyPowerDemand,0.9051506316812439,0.8961176516777024,3.4
InsectWingbeatSound,0.5264646464646464,0.5176050203408369,2.6
InsectEPGSmallTrain,0.6088353413654618,0.5314928195930096,4.8
InsectEPGRegularTrain,0.6923694779116466,0.6481710158268348,3.0
InlineSkate,0.23854545454545456,0.21465745159518274,2.8
HouseTwenty,0.8504201680672269,0.8257137720164521,3.6
Herring,0.5875,0.08195292066259809,6.0
Haptics,0.37857142857142856,0.3360464292962439,3.6
HandOutlines,0.7854054054054054,0.8418983949677019,3.0
Ham,0.5695238095238095,0.4923493644453378,6.8
GunPointOldVersusYoung,0.9041269841269841,0.9050143518650992,3.6
GunPointMaleVersusFemale,0.9879746835443038,0.9871660186227128,2.4
GunPointAgeSpan,0.9424050632911393,0.9409795051228461,3.2
GunPoint,0.884,0.891321527718626,3.0
GesturePebbleZ2,0.1518987341772152,0.04395604395604396,5.6
GesturePebbleZ1,0.16279069767441862,0.04666666666666667,5.8
GestureMidAirD3,0.04153846153846154,0.007998469192499044,6.0
GestureMidAirD2,0.04461538461538462,0.013126674320704173,5.8
GestureMidAirD1,0.04153846153846154,0.007998469192499044,5.4
Fungi,0.9967741935483871,0.9975193325193326,2.0
FreezerSmallTrain,0.756280701754386,0.7214367664051782,3.8
FreezerRegularTrain,0.9385964912280702,0.9375281271781774,3.6
FordB,0.7328395061728395,0.7698277381981118,2.6
FordA,0.9021212121212121,0.9004065967558009,2.6
Fish,0.6377142857142857,0.6340617909250044,2.8
FiftyWords,0.5767032967032967,0.40858111950174386,2.8
FacesUCR,0.620390243902439,0.5509482740325047,3.4
FaceFour,0.6704545454545454,0.6462610414998793,2.8
FaceAll,0.610887573964497,0.6182694447591134,3.2
EthanolLevel,0.2452,0.1156148114343016,6.6
EOGVerticalSignal,0.4149171270718232,0.40217990909167867,2.8
EOGHorizontalSignal,0.5104972375690607,0.5042368166485113,3.0
ElectricDevices,0.655816366230061,0.5912636654727015,2.8
ECGFiveDays,0.7042973286875726,0.5850889977514567,4.6
ECG5000,0.9258222222222222,0.517253435390463,3.2
ECG200,0.788,0.847611094185613,4.4
Earthquakes,0.7482014388489209,0.0,6.8
DodgerLoopWeekend,0.8115942028985507,0.3828785168320052,5.0
DodgerLoopGame,0.5579710144927537,0.5916433300502779,7.4
DodgerLoopDay,0.4025,0.3471178456214333,2.8
DistalPhalanxTW,0.6589928057553956,0.43629654369898224,2.2
DistalPhalanxOutlineCorrect,0.7253623188405797,0.7855665155695009,3.6
DistalPhalanxOutlineAgeGroup,0.6992805755395683,0.6174667784566147,3.2
DiatomSizeReduction,0.8366013071895425,0.8016238558140676,3.4
Crop,0.5790357142857143,0.5675108462547882,3.8
CricketZ,0.5348717948717949,0.5151205457009647,3.0
CricketY,0.5153846153846154,0.5133797619619673,3.2
CricketX,0.49076923076923074,0.4836070118866619,3.6
Computers,0.6624,0.6783178450826195,3.6
Coffee,0.6785714285714286,0.35531034482758617,5.8
CinCECGTorso,0.5359420289855072,0.536122483664843,3.8
ChlorineConcentration,0.5490104166666666,0.27846086826921124,8.4
Chinatown,0.9113702623906705,0.9408062129581667,5.4
CBF,0.9104444444444445,0.9096789476196334,3.2
Car,0.7433333333333333,0.7481233377385647,2.2
BME,0.8226666666666667,0.810229049061758,2.8
BirdChicken,0.63,0.6190476190476191,3.8
BeetleFly,0.79,0.8035272634814968,3.6
Beef,0.48,0.4457666365282464,2.8
ArrowHead,0.6777142857142857,0.6729324823118926,3.0
AllGestureWiimoteZ,0.1,0.01818181818181818,5.2
AllGestureWiimoteY,0.1,0.01818181818181818,5.2
AllGestureWiimoteX,0.1,0.01818181818181818,5.2
Adiac,0.42404092071611255,0.3741263658955997,2.0
ACSF1,0.534,0.4931492824752515,2.4
